essay_id,set,score,org_score,pos_adjadv,pos_noun,pos_pronoun,pos_verb,pos_other,pos_nums,complex_short,complex_medium,complex_long,vocab_level,new_score,pred_score,prompt_relevance
5978,3,1.0,0,2,2,3,2,2,2,0.0,1.0,0.0,6.7,0,0,38
5979,3,2.0,0,2,2,2,2,2,2,0.25,0.75,0.0,9.8,0,0,129
5980,3,1.0,0,2,2,3,2,2,2,0.375,0.625,0.0,6.0,0,0,67
5981,3,1.0,0,2,2,3,2,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,11.8,0,0,58
5982,3,2.0,0,2,2,2,2,2,2,0.0,0.6666666666666666,0.3333333333333333,15.4,0,0,84
5983,3,1.0,0,2,3,3,3,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.6,0,0,45
5984,3,1.0,0,2,2,3,2,2,2,0.5,0.5,0.0,2.2,0,0,32
5985,3,0.0,0,2,2,3,2,2,2,0.25,0.75,0.0,3.7,0,0,71
5986,3,2.0,0,2,2,3,2,2,2,0.16666666666666666,0.8333333333333334,0.0,7.3,0,0,56
5987,3,2.0,0,2,2,2,2,2,2,0.125,0.875,0.0,10.4,0,0,97
5988,3,3.0,0,2,2,2,2,2,2,0.0,0.7142857142857143,0.2857142857142857,7.1,1,0,109
5989,3,1.0,0,2,2,3,2,2,2,0.16666666666666666,0.8333333333333334,0.0,5.7,0,0,60
5990,3,3.0,0,2,2,3,2,2,2,0.14285714285714285,0.8571428571428571,0.0,9.1,1,0,89
5991,3,1.0,1,2,2,3,2,2,2,0.0,1.0,0.0,8.5,0,0,58
5992,3,1.0,0,2,2,3,2,2,2,0.0,0.0,1.0,13.1,0,0,49
5993,3,1.0,0,2,2,3,3,2,2,0.14285714285714285,0.8571428571428571,0.0,7.8,0,0,85
5994,3,2.0,0,2,2,3,2,2,2,0.0,1.0,0.0,9.2,0,0,59
5995,3,2.0,0,2,2,3,2,2,2,0.4444444444444444,0.5555555555555556,0.0,6.0,0,0,62
5996,3,1.0,0,2,2,2,2,2,2,0.0,1.0,0.0,8.8,0,0,65
5997,3,2.0,0,2,2,3,2,2,2,0.14285714285714285,0.8571428571428571,0.0,7.2,0,0,71
5998,3,2.0,0,2,2,3,2,2,2,0.0,1.0,0.0,11.9,0,0,36
5999,3,0.0,1,2,3,3,2,2,2,0.0,1.0,0.0,13.6,0,0,23
