Id,EssaySet,Score1,Score2,EssayText
24595,9,1,1,article organ introduce satellite space junk final danger space junk pose astronaut satellite help reader slowly learn space junk example get start impact other
8590,4,0,0,invars like introduct people get pet other expert even though unfair inform other
20483,8,2,2,paul find mr leonard past surprise paul idea mr leonard track star inform encourage paul strive learn read time paul could relate paul trouble read felt epithet toward mr leonard
5184,3,1,1,panda koala vegetarian eat leaf harmless
17519,7,0,0,though worry cometh understand go life what allow deal problem front
21490,8,2,2,background inform paul got mr leonard really paul good sport athlete read go tutor help mr leonard good athlete read never got help flunk college lost scholarship show paul really need keep head school best could possible
5782,3,1,1,chines panda australia koala similar specialist mean live one main food source panda live diet bamboo koala main consume eucalyptus leave anim differ python python generalist mani food source python eat rodent small anim even large anim
6152,3,2,1,panda china similar koala australia anim eat variety food china panda eat almost not bamboo australia koala bear eat eucalyptus leave almost Ecclus anim differ python snake eat almost thing include Allix
18408,7,2,2,rose optimist rose kept nod may life would get easier may wouldnt
20837,8,0,0,would teach run hurdle good also ask hall monitor school track star person
8283,4,2,2,word invars mean specie put take area origin python conoid invars florida everglade since eat ending specie grow number python caus problem wildlife biologist skip snow drag python rood rood
24285,9,2,2,author organ article put inform category give brief summary introduct go straight first section space junk author explain space junk form next go happen two space satellite colloid crash cours section article give example topic final end article little bit big deal section talk serious space junk overall author choose organ article sort inform subject base differ topic space junk make article EASI read understand
6325,3,0,0,python generalist china panda australia koala specialist eat differ thing come differ place eye harm rare kept home pet
18018,7,1,1,someone get discourage easily caus alway worry late mom work also get homework done go strait work think alway push time
9649,4,0,2,word invars import throughout article throughout article argue weather new anim introduce everglade invars biologist howel say invars specie uncheck nature predate major threat biodivers show biologist argue invars specie
20068,8,0,0,mr leonard told paul could go big rune career work had pull workout team
5532,3,1,1,pand china eat bamboo koala australia eat eucalyptus leave differ python eat plant
23012,9,1,1,explain danger space junk like satellite epic space craft
20882,8,1,1,effect mr leonard background paul great paul connect mr leonard background similar
5812,3,1,1,panda china Kolasin australia similar low popabiti eat specif type food python different python eat almost Anyah artic said even alligate
23480,9,0,0,author organ this article seqence way start history work way forward also start small make seem bigger
5467,3,2,2,panda koala similar most eat one thing anim eat plant article say panda eat almost not bamboo bamboo plant grown japan koala article state eat eucalyptus almost Ecclus Aneth plant grown tree
20372,8,1,1,lot effect paul mr leonard told past kinda motive paul tri hard mani thing happen take Chanc succeed life
6164,3,1,1,panda koala bear similar specialist altho differ python python specialist unlike koala panda bear
18190,7,2,1,rose care help tri hard help family aunt even said must hard
23537,9,1,1,author organ article structure way start story goe space junk gradual goe talk satellite danger start talk danger space junk really fact not really done last paragraph like end start talk little thing big problem start adjust space junk instead space junk adjust us chang instead get rid space junk like article structure give detail story inform well interest alway problem world know even smallest thing hurt world good know well know not truly done
8538,4,0,1,word invars mean unfair pass judgement like cometh happen cometh ugli thing like invars specie harm python breed storm everglade nice monitor lizard tooth carnivora reach seven feet length found happy home along canal cape coral
9744,4,0,0,signific word invars mean Aneth word harm specie anim ment pet
24301,9,1,1,article well organ start introduct grab reader attent give definite subject article tell introduce problem associe need slut set work well give lot inform EASI understand
8847,4,1,1,invars import rest article people think word invars pass judgment reptile people macing think best thing happen everglade other think horrible call invars
20471,8,0,0,paul upset mr leonard tell nation meter hurdle paul print inform confront ask tell past
20692,8,2,2,paul receive information mr leonard feel boat paul feel like relate way never story paul confuse mr leonard ask name see hall pass find read want start train mr leonard appreci done paul track season
5063,3,1,1,panda china similar koala australia eat nature green resource bamboo eucalyptus leave differ python differ eat habit where python like eat anim danger
8313,4,0,1,signific word invars throughout article use unnecessary term article state even term invars specie unfair said introduce think invars pass judgement invars use everyone could find pet word get pet even pet article prove people actual find pet rather invars specie
