essay_id,score,org_score,pos_adjadv,pos_noun,pos_pronoun,pos_verb,pos_other,pos_nums,complex_short,complex_medium,complex_long,predicted_score,vocab_level

24576,1,1,2,2,3,2,2,2,0.0,0.0,1.0,0,17.0

24577,2,1,2,2,3,3,2,1,0.0,1.0,0.0,1,15.6

24578,2,1,2,2,3,2,2,2,0.0,0.0,1.0,1,80.2

24579,2,1,2,2,3,2,2,2,0.0,0.0,1.0,1,23.8

24580,1,1,2,2,3,2,2,2,0.0,1.0,0.0,0,10.6

24581,0,1,2,2,3,2,2,2,0.0,1.0,0.0,0,7.8

24582,2,1,3,2,2,2,3,2,0.0,0.0,1.0,1,48.8

24583,0,1,2,2,3,2,2,2,0.0,1.0,0.0,0,4.3

24584,0,1,2,2,3,2,2,2,0.0,1.0,0.0,0,6.1

24585,2,1,2,2,3,2,2,2,0.0,0.0,1.0,1,33.5

24586,0,1,2,2,3,2,2,2,0.0,1.0,0.0,0,12.9

24587,2,1,2,2,3,2,2,2,0.0,0.0,1.0,1,27.7

24588,1,1,2,2,3,2,2,2,0.0,1.0,0.0,0,11.6

24589,2,1,2,2,3,2,2,2,0.0,0.0,1.0,1,61.0

24590,1,1,2,2,3,2,2,2,0.0,1.0,0.0,0,11.3

24591,1,1,2,2,3,2,2,2,0.0,0.0,1.0,0,32.6

24592,2,1,2,3,3,2,2,2,0.0,0.0,1.0,1,34.0

24593,2,1,2,2,3,2,3,2,0.0,0.0,1.0,1,35.5

24594,2,1,2,2,3,2,2,2,0.0,1.0,0.0,1,10.4

24703,1,1,2,2,3,2,2,2,0.0,0.0,1.0,0,24.7

24595,1,1,2,2,3,2,2,2,0.0,0.0,1.0,0,27.9

23463,1,1,2,2,3,2,2,2,0.0,0.0,1.0,0,20.9

24596,2,1,2,2,3,2,2,2,0.0,0.0,1.0,1,49.6

24597,1,1,2,2,3,2,2,2,0.0,0.0,1.0,0,20.5

24598,1,1,2,2,3,3,2,2,0.0,0.0,1.0,0,49.6

24599,1,1,2,2,3,2,2,2,1.0,0.0,0.0,0,3.1

24600,0,1,2,2,3,2,2,2,0.0,1.0,0.0,0,5.1

24601,1,1,3,2,3,2,2,2,0.0,0.0,1.0,0,13.5

24602,1,1,2,2,3,3,2,2,0.0,0.0,1.0,0,55.2

24603,1,1,2,2,3,2,2,2,0.0,0.0,1.0,0,21.4

24604,2,1,2,2,3,2,2,2,0.0,0.0,1.0,1,20.8

24605,2,1,2,2,3,2,2,2,0.0,0.0,1.0,1,35.4

24606,0,1,2,2,3,2,2,2,0.0,1.0,0.0,0,5.7

24607,2,1,2,2,3,3,2,2,0.0,0.0,1.0,1,23.7

24608,1,1,2,2,3,2,2,2,0.0,0.0,1.0,0,19.0

24609,2,1,2,2,3,2,2,2,0.0,0.0,1.0,1,31.1

24610,1,1,2,2,3,2,2,2,1.0,0.0,0.0,0,6.1

24611,1,1,3,2,3,2,2,2,0.0,1.0,0.0,0,13.8

24612,1,1,2,2,3,2,2,2,0.0,1.0,0.0,0,12.3

24613,1,1,2,2,3,2,2,2,0.0,1.0,0.0,0,13.8

24614,1,1,3,2,3,2,2,2,0.0,1.0,0.0,0,11.1

24615,2,1,2,2,3,2,2,2,0.0,0.0,1.0,1,65.8

24616,1,1,2,3,3,3,2,2,0.0,0.0,1.0,0,44.9

24617,1,1,2,2,3,2,2,2,0.0,0.0,1.0,0,28.2

24618,1,1,2,2,3,2,2,2,0.0,0.0,1.0,0,28.5

24619,2,1,2,2,3,2,2,2,0.0,0.0,1.0,1,31.9

24620,0,1,2,2,3,2,2,2,0.0,1.0,0.0,0,15.2

24621,0,1,2,2,3,2,2,2,0.0,0.0,1.0,0,25.3

24622,1,1,2,2,3,2,2,2,0.0,1.0,0.0,0,6.0

24623,1,1,3,3,3,2,3,2,0.0,0.0,1.0,0,26.8

24624,0,1,2,2,3,2,2,2,1.0,0.0,0.0,0,2.9

24625,0,1,2,2,3,2,2,2,0.0,1.0,0.0,0,14.2

23469,1,1,2,2,3,2,2,2,0.0,0.0,1.0,0,89.5

24626,1,1,2,2,3,3,2,2,0.0,0.0,1.0,0,21.7

24627,2,1,2,2,3,2,2,1,0.0,0.0,1.0,1,64.6

24628,0,1,2,2,3,2,2,2,1.0,0.0,0.0,0,3.6

24629,2,1,2,2,3,2,2,2,0.0,1.0,0.0,1,11.1

24630,1,1,2,2,3,2,2,2,0.0,0.0,1.0,0,25.6

24631,2,1,2,2,3,2,2,2,0.0,1.0,0.0,1,16.0

