essay_id,set,score,org_score,pos_adjadv,pos_noun,pos_pronoun,pos_verb,pos_other,pos_nums,complex_short,complex_medium,complex_long,vocab_level
1,1,1,1,0.10714285714285714,0.17857142857142858,0.0,0.17857142857142858,0.5,2,0.0,0.0,1.0,28.2
2,1,1,1,0.08333333333333333,0.25,0.0,0.22916666666666666,0.375,3,0.0,0.0,1.0,26.4
3,1,1,1,0.08571428571428572,0.22857142857142856,0.0,0.17142857142857143,0.45714285714285713,2,0.0,1.0,0.0,13.7
4,1,0,1,0.058823529411764705,0.29411764705882354,0.0,0.17647058823529413,0.47058823529411764,0,0.0,1.0,0.0,6.8
5,1,2,1,0.06451612903225806,0.1935483870967742,0.0,0.2903225806451613,0.45161290322580644,0,0.0,1.0,0.0,13.2
6,1,1,1,0.041666666666666664,0.16666666666666666,0.0,0.20833333333333334,0.5833333333333334,0,0.0,1.0,0.0,11.0
7,1,1,1,0.15853658536585366,0.21951219512195122,0.0,0.17073170731707318,0.4146341463414634,3,0.0,0.0,1.0,42.6
8,1,3,1,0.07692307692307693,0.23076923076923078,0.0,0.18461538461538463,0.5076923076923077,0,0.0,0.0,1.0,31.9
9,1,3,1,0.11864406779661017,0.1864406779661017,0.0,0.2542372881355932,0.4406779661016949,0,0.0,0.0,1.0,28.4
10,1,2,1,0.0847457627118644,0.2542372881355932,0.0,0.1864406779661017,0.4576271186440678,1,0.0,0.0,1.0,17.1
11,1,0,1,0.07692307692307693,0.3076923076923077,0.0,0.15384615384615385,0.46153846153846156,0,0.0,1.0,0.0,9.7
12,1,3,1,0.0975609756097561,0.24390243902439024,0.0,0.17073170731707318,0.4878048780487805,0,0.0,0.0,1.0,20.0
13,1,2,1,0.14893617021276595,0.2127659574468085,0.0,0.23404255319148937,0.3617021276595745,2,0.0,0.0,1.0,26.2
14,1,2,1,0.0,0.375,0.0,0.125,0.5,0,1.0,0.0,0.0,5.6
15,1,0,1,0.14814814814814814,0.18518518518518517,0.0,0.2037037037037037,0.42592592592592593,2,0.0,0.0,1.0,27.5
16,1,0,1,0.125,0.125,0.0,0.5,0.25,0,1.0,0.0,0.0,-3.9
17,1,3,1,0.057692307692307696,0.34615384615384615,0.0,0.15384615384615385,0.4423076923076923,0,0.0,0.0,1.0,26.0
18,1,0,1,0.11904761904761904,0.21428571428571427,0.0,0.21428571428571427,0.44047619047619047,1,0.0,0.0,1.0,40.4
19,1,0,1,0.044444444444444446,0.3333333333333333,0.0,0.15555555555555556,0.4444444444444444,1,0.0,0.0,1.0,21.8
20,1,3,1,0.08433734939759036,0.1927710843373494,0.0,0.18072289156626506,0.5060240963855421,3,0.0,0.0,1.0,40.5
21,1,0,1,0.06521739130434782,0.13043478260869565,0.0,0.2391304347826087,0.5434782608695652,1,0.0,0.0,1.0,21.4
22,1,2,1,0.06818181818181818,0.20454545454545456,0.0,0.18181818181818182,0.5,2,0.0,0.0,1.0,20.6
23,1,0,1,0.10714285714285714,0.14285714285714285,0.0,0.2857142857142857,0.4642857142857143,0,0.0,1.0,0.0,12.9
24,1,3,1,0.11320754716981132,0.16981132075471697,0.0,0.20754716981132076,0.5094339622641509,0,0.0,0.0,1.0,25.2
25,1,1,1,0.07142857142857142,0.2857142857142857,0.0,0.21428571428571427,0.42857142857142855,0,0.0,1.0,0.0,8.8
26,1,2,1,0.08695652173913043,0.17391304347826086,0.0,0.2608695652173913,0.463768115942029,1,0.0,0.0,1.0,34.4
27,1,2,1,0.08,0.2,0.0,0.2,0.52,0,0.0,1.0,0.0,11.2
28,1,0,1,0.07142857142857142,0.32857142857142857,0.0,0.15714285714285714,0.2714285714285714,12,0.0,0.0,1.0,33.6
29,1,3,1,0.04,0.24,0.0,0.2,0.52,0,0.0,1.0,0.0,11.4
30,1,2,1,0.13636363636363635,0.20454545454545456,0.0,0.1590909090909091,0.45454545454545453,2,0.0,0.0,1.0,18.6
31,1,2,1,0.12307692307692308,0.2153846153846154,0.0,0.18461538461538463,0.46153846153846156,1,0.0,0.0,1.0,32.5
32,1,0,1,0.0,0.21428571428571427,0.0,0.21428571428571427,0.5714285714285714,0,0.0,1.0,0.0,4.4
33,1,3,1,0.038461538461538464,0.23076923076923078,0.0,0.19230769230769232,0.5384615384615384,0,0.0,1.0,0.0,13.0
34,1,3,1,0.07692307692307693,0.23076923076923078,0.0,0.28205128205128205,0.41025641025641024,0,0.0,0.0,1.0,16.2
35,1,1,1,0.08571428571428572,0.11428571428571428,0.0,0.3142857142857143,0.4857142857142857,0,0.0,1.0,0.0,6.7
36,1,2,1,0.08,0.2,0.0,0.26,0.46,0,0.0,0.0,1.0,8.8
37,1,2,1,0.07272727272727272,0.2,0.0,0.23636363636363636,0.4909090909090909,0,0.0,0.0,1.0,25.3
38,1,0,1,0.02702702702702703,0.24324324324324326,0.0,0.24324324324324326,0.4864864864864865,0,0.0,0.0,1.0,16.3
39,1,1,1,0.2564102564102564,0.1794871794871795,0.0,0.15384615384615385,0.41025641025641024,0,0.0,0.0,1.0,16.9
40,1,2,1,0.10344827586206896,0.22413793103448276,0.0,0.2413793103448276,0.41379310344827586,1,0.0,0.0,1.0,27.1
41,1,1,1,0.05714285714285714,0.17142857142857143,0.0,0.34285714285714286,0.42857142857142855,0,0.0,1.0,0.0,18.0
42,1,3,1,0.09615384615384616,0.17307692307692307,0.0,0.21153846153846154,0.5192307692307693,0,0.0,0.0,1.0,23.6
43,1,3,1,0.08163265306122448,0.2653061224489796,0.02040816326530612,0.22448979591836735,0.42857142857142855,0,0.0,0.0,1.0,22.9
44,1,3,1,0.12903225806451613,0.2903225806451613,0.0,0.1935483870967742,0.3548387096774194,1,0.0,1.0,0.0,15.2
45,1,2,1,0.05555555555555555,0.2777777777777778,0.0,0.19444444444444445,0.4444444444444444,1,0.0,0.0,1.0,16.1
46,1,0,1,0.14285714285714285,0.2571428571428571,0.0,0.2,0.37142857142857144,1,0.0,0.0,1.0,10.2
47,1,2,1,0.06779661016949153,0.23728813559322035,0.0,0.288135593220339,0.3728813559322034,2,0.0,0.0,1.0,29.1
48,1,0,1,0.12195121951219512,0.24390243902439024,0.0,0.14634146341463414,0.4634146341463415,1,0.0,0.0,1.0,21.0
49,1,0,1,0.045454545454545456,0.18181818181818182,0.0,0.18181818181818182,0.5909090909090909,0,0.0,1.0,0.0,7.3
50,1,3,1,0.14705882352941177,0.17647058823529413,0.0,0.14705882352941177,0.5,1,0.0,1.0,0.0,9.3
51,1,1,1,0.10810810810810811,0.21621621621621623,0.0,0.24324324324324326,0.43243243243243246,0,0.0,0.0,1.0,18.8
52,1,0,1,0.06976744186046512,0.3023255813953488,0.0,0.18604651162790697,0.4186046511627907,1,0.0,0.0,1.0,20.0
53,1,2,1,0.13953488372093023,0.18604651162790697,0.0,0.23255813953488372,0.4186046511627907,1,0.0,0.0,1.0,21.1
54,1,2,1,0.075,0.15,0.0,0.225,0.525,1,0.0,0.0,1.0,16.3
55,1,2,1,0.07042253521126761,0.22535211267605634,0.0,0.19718309859154928,0.4647887323943662,3,0.0,0.0,1.0,32.0
56,1,1,1,0.06976744186046512,0.2558139534883721,0.0,0.18604651162790697,0.4418604651162791,2,0.0,0.0,1.0,21.0
57,1,0,1,0.13157894736842105,0.21052631578947367,0.0,0.18421052631578946,0.42105263157894735,2,0.0,0.0,1.0,17.5
58,1,2,1,0.14473684210526316,0.2236842105263158,0.0,0.18421052631578946,0.4473684210526316,0,0.0,0.0,1.0,36.7
59,1,3,1,0.0625,0.203125,0.0,0.25,0.46875,1,0.0,0.0,1.0,30.4
60,1,3,1,0.08064516129032258,0.24193548387096775,0.0,0.24193548387096775,0.4032258064516129,2,0.0,0.0,1.0,32.8
61,1,1,1,0.07894736842105263,0.18421052631578946,0.0,0.21052631578947367,0.5263157894736842,0,0.0,0.0,1.0,17.9
62,1,3,1,0.13725490196078433,0.17647058823529413,0.0,0.19607843137254902,0.49019607843137253,0,0.0,0.0,1.0,24.0
63,1,1,1,0.029411764705882353,0.23529411764705882,0.0,0.2647058823529412,0.4411764705882353,1,0.0,1.0,0.0,14.7
64,1,0,1,0.1,0.2,0.0,0.275,0.425,0,0.0,0.0,1.0,17.6
65,1,0,1,0.13953488372093023,0.20930232558139536,0.0,0.20930232558139536,0.4418604651162791,0,0.0,0.0,1.0,21.0
66,1,0,1,0.045454545454545456,0.18181818181818182,0.0,0.20454545454545456,0.5681818181818182,0,0.0,0.0,1.0,22.0
67,1,1,1,0.14,0.28,0.0,0.2,0.38,0,0.0,0.0,1.0,24.2
68,1,2,1,0.058823529411764705,0.37254901960784315,0.0,0.13725490196078433,0.43137254901960786,0,0.0,0.0,1.0,24.6
69,1,3,1,0.0,0.4074074074074074,0.0,0.14814814814814814,0.2962962962962963,4,0.0,1.0,0.0,5.2
70,1,1,1,0.07936507936507936,0.25396825396825395,0.0,0.2222222222222222,0.4444444444444444,0,0.0,0.0,1.0,30.8
71,1,1,1,0.05555555555555555,0.2222222222222222,0.0,0.19444444444444445,0.5,1,0.0,0.0,1.0,16.6
72,1,2,1,0.03571428571428571,0.14285714285714285,0.0,0.26785714285714285,0.5535714285714286,0,0.0,0.0,1.0,26.4
73,1,0,1,0.02564102564102564,0.28205128205128205,0.0,0.1794871794871795,0.5128205128205128,0,0.0,0.0,1.0,19.1
74,1,1,1,0.030303030303030304,0.2727272727272727,0.0,0.21212121212121213,0.3939393939393939,3,0.0,1.0,0.0,13.9
75,1,1,1,0.11363636363636363,0.22727272727272727,0.0,0.18181818181818182,0.4772727272727273,0,0.0,0.0,1.0,22.2
76,1,3,1,0.0958904109589041,0.1780821917808219,0.0,0.2054794520547945,0.4931506849315068,2,0.0,0.0,1.0,34.5
77,1,3,1,0.05263157894736842,0.18421052631578946,0.0,0.2631578947368421,0.5,0,0.0,0.0,1.0,19.4
78,1,0,1,0.06779661016949153,0.2542372881355932,0.0,0.2033898305084746,0.4576271186440678,1,0.0,0.0,1.0,29.6
79,1,1,1,0.11538461538461539,0.15384615384615385,0.0,0.28846153846153844,0.4423076923076923,0,0.0,0.0,1.0,24.6
80,1,1,1,0.05454545454545454,0.2727272727272727,0.0,0.2,0.45454545454545453,1,0.0,0.0,1.0,25.9
81,1,3,1,0.11764705882352941,0.23529411764705882,0.0,0.19607843137254902,0.45098039215686275,0,0.0,0.0,1.0,24.6
82,1,2,1,0.12941176470588237,0.21176470588235294,0.0,0.18823529411764706,0.43529411764705883,3,0.0,0.0,1.0,41.8
83,1,2,1,0.0273972602739726,0.2191780821917808,0.0,0.2054794520547945,0.547945205479452,0,0.0,0.0,1.0,34.9
84,1,0,1,0.20689655172413793,0.20689655172413793,0.0,0.13793103448275862,0.4482758620689655,0,0.0,1.0,0.0,10.8
85,1,1,1,0.16129032258064516,0.1935483870967742,0.0,0.22580645161290322,0.41935483870967744,0,0.0,1.0,0.0,16.1
86,1,3,1,0.14492753623188406,0.13043478260869565,0.0,0.2318840579710145,0.4782608695652174,1,0.0,0.0,1.0,34.5
87,1,0,1,0.07142857142857142,0.25,0.0,0.25,0.39285714285714285,1,0.0,1.0,0.0,14.4
88,1,1,1,0.125,0.25,0.0,0.16666666666666666,0.4375,1,0.0,0.0,1.0,25.1
89,1,0,1,0.07894736842105263,0.2894736842105263,0.0,0.23684210526315788,0.3157894736842105,3,0.0,0.0,1.0,6.5
90,1,2,1,0.125,0.18181818181818182,0.0,0.22727272727272727,0.4659090909090909,0,0.0,0.0,1.0,42.6
91,1,3,1,0.1827956989247312,0.20430107526881722,0.0,0.20430107526881722,0.40860215053763443,0,0.0,0.0,1.0,44.4
92,1,0,1,0.024390243902439025,0.34146341463414637,0.0,0.17073170731707318,0.4634146341463415,0,0.0,0.0,1.0,19.4
93,1,3,1,0.06666666666666667,0.2,0.0,0.2,0.5333333333333333,0,0.0,0.0,1.0,36.6
94,1,1,1,0.02040816326530612,0.1836734693877551,0.0,0.20408163265306123,0.5714285714285714,1,0.0,0.0,1.0,21.9
95,1,3,1,0.04225352112676056,0.2535211267605634,0.0,0.2535211267605634,0.4507042253521127,0,0.0,0.0,1.0,36.5
96,1,0,1,0.1702127659574468,0.19148936170212766,0.0,0.1702127659574468,0.46808510638297873,0,0.0,0.0,1.0,23.5
97,1,3,1,0.07777777777777778,0.2222222222222222,0.0,0.2,0.4777777777777778,2,0.0,0.0,1.0,44.8
98,1,1,1,0.05,0.2,0.0,0.3,0.45,0,0.0,1.0,0.0,9.5
99,1,3,1,0.0,0.16666666666666666,0.0,0.3333333333333333,0.5,0,0.0,1.0,0.0,3.0
100,1,2,1,0.1111111111111111,0.24074074074074073,0.0,0.2222222222222222,0.3888888888888889,2,0.0,0.0,1.0,15.8
101,1,3,1,0.1111111111111111,0.25925925925925924,0.0,0.12962962962962962,0.46296296296296297,2,0.0,0.0,1.0,25.4
102,1,2,1,0.08928571428571429,0.21428571428571427,0.0,0.23214285714285715,0.4642857142857143,0,0.0,0.0,1.0,26.3
103,1,1,1,0.11235955056179775,0.23595505617977527,0.0,0.21348314606741572,0.4044943820224719,3,0.0,0.0,1.0,44.1
104,1,2,1,0.07142857142857142,0.2857142857142857,0.0,0.2857142857142857,0.35714285714285715,0,0.0,1.0,0.0,10.8
